"topic_id","topic_key","topic_name","group_id"
"182","esl","English as a Second Language","8770372"
"182","esl","English as a Second Language","9608102"
"182","esl","English as a Second Language","10320182"
"182","esl","English as a Second Language","10899162"
"182","esl","English as a Second Language","12484952"
"182","esl","English as a Second Language","15367282"
"182","esl","English as a Second Language","16493122"
"182","esl","English as a Second Language","16811742"
"182","esl","English as a Second Language","16904112"
"182","esl","English as a Second Language","16917772"
"182","esl","English as a Second Language","17421862"
"182","esl","English as a Second Language","18049542"
"182","esl","English as a Second Language","18198737"
"182","esl","English as a Second Language","18207092"
"182","esl","English as a Second Language","18327968"
"182","esl","English as a Second Language","18364592"
"182","esl","English as a Second Language","18405774"
"182","esl","English as a Second Language","18527239"
"182","esl","English as a Second Language","18614680"
"182","esl","English as a Second Language","18659694"
"182","esl","English as a Second Language","18701284"
"182","esl","English as a Second Language","18732367"
"182","esl","English as a Second Language","18763928"
"182","esl","English as a Second Language","18933903"
"182","esl","English as a Second Language","19076521"
"182","esl","English as a Second Language","19221689"
"182","esl","English as a Second Language","19303582"
"182","esl","English as a Second Language","19595779"
"182","esl","English as a Second Language","19775200"
"182","esl","English as a Second Language","19827518"
"182","esl","English as a Second Language","19860657"
"182","esl","English as a Second Language","19933143"
"182","esl","English as a Second Language","19969037"
"182","esl","English as a Second Language","20129931"
"182","esl","English as a Second Language","20220673"
"182","esl","English as a Second Language","20343371"
"182","esl","English as a Second Language","20385795"
"182","esl","English as a Second Language","20472600"
"182","esl","English as a Second Language","20485205"
"182","esl","English as a Second Language","20579632"
"182","esl","English as a Second Language","20721738"
"182","esl","English as a Second Language","20760003"
"182","esl","English as a Second Language","20809820"
"182","esl","English as a Second Language","20864782"
"182","esl","English as a Second Language","21642059"
"182","esl","English as a Second Language","21661018"
"182","esl","English as a Second Language","22489577"
"182","esl","English as a Second Language","22799319"
"182","esl","English as a Second Language","22916530"
"182","esl","English as a Second Language","23368554"
"182","esl","English as a Second Language","23445597"
"182","esl","English as a Second Language","23587799"
"182","esl","English as a Second Language","24285119"
"182","esl","English as a Second Language","24319816"
"182","esl","English as a Second Language","24356540"
"182","esl","English as a Second Language","24427351"
"182","esl","English as a Second Language","24507041"
"182","esl","English as a Second Language","24600722"
"182","esl","English as a Second Language","24609023"
"182","esl","English as a Second Language","24685204"
"182","esl","English as a Second Language","24700377"
"182","esl","English as a Second Language","24706694"
"182","esl","English as a Second Language","24758803"
"182","esl","English as a Second Language","24847832"
"182","esl","English as a Second Language","24851934"
"182","esl","English as a Second Language","25036048"
"182","esl","English as a Second Language","25036711"
"182","esl","English as a Second Language","25092064"
"182","esl","English as a Second Language","25155872"
"182","esl","English as a Second Language","25351285"
